Source Target Weight
陈近南 吴立身 44
陈近南 钱老本 30
陈近南 敖彪 2
陈近南 刘一舟 1
陈近南 白寒松 4
陈近南 李西华 50
陈近南 苏冈 10
陈近南 风际中 58
陈近南 陶红英 5
陈近南 胖头陀 8
陈近南 双儿 59
陈近南 澄通 1
陈近南 澄观 2
陈近南 施琅 135
陈近南 九难 12
陈近南 冯锡范 143
陈近南 杨溢之 4
陈近南 贾老六 1
陈近南 葛尔丹 1
陈近南 李自成 6
陈近南 黄宗羲 2
陈近南 林兴珠 25
陈近南 夏国相 2
陈近南 苏菲亚 4
陈近南 黄甫 1
陈近南 明珠 3
陈近南 吴之荣 8
陈近南 顾炎武 12
陈近南 吕留良 4
陈近南 归钟 38
陈近南 归辛树 67
陈近南 归二娘 90
陈近南 冯难敌 2
陈近南 何惕守 3
陈近南 张勇 3
陈近南 赵良栋 3
陈近南 赵齐贤 2
陈近南 阿济赤 2
陈近南 曾柔 3
陈近南 苏荃 36
陈近南 方怡 6
陈近南 洪朝 3
陈近南 守备 1
陈近南 多隆 4
陈近南 舒化龙 4
贾老六 鳌拜 46
贾老六 韦小宝 60
贾老六 崔瞎子 42
贾老六 关安基 29
贾老六 茅十八 32
贾老六 李力世 8
贾老六 钱老本 1
贾老六 冯锡范 1
贾老六 陈近南 1
茅十八 韦小宝 1273
茅十八 吴大鹏 180
茅十八 王潭 53
茅十八 史松 150
茅十八 陈近南 55
茅十八 鳌拜 144
茅十八 吴三桂 70
茅十八 小桂子 57
茅十八 索额图 5
茅十八 崔瞎子 4
茅十八 贾老六 32
茅十八 关安基 36
茅十八 李力世 24
茅十八 海大富 6
茅十八 蔡德忠 4
茅十八 徐天川 19
茅十八 方怡 1
茅十八 沐剑屏 1
茅十八 钟志灵 1
茅十八 胖头陀 1
茅十八 许雪亭 1
茅十八 无根道人 1
茅十八 苏荃 27
茅十八 双儿 17
茅十八 多隆 77
茅十八 冯锡范 11
茅十八 樊纲 6
茅十八 祁清彪 1
茅十八 钱老本 2
茅十八 风际中 2
韦小宝 茅十八 1273
韦小宝 吴大鹏 27
韦小宝 史松 48
韦小宝 王潭 2
